,Predicted,Actual
0,1830.4872220305347,1826.5999755859373
1,1833.4651047547452,1835.199951171875
2,1839.1200491238667,1836.199951171875
3,1855.7874497771722,1840.800048828125
4,1868.4467308258872,1868.0
5,1843.5879672709325,1854.800048828125
6,1853.1840016279016,1870.199951171875
7,1871.4495064789073,1900.699951171875
8,1876.2772105188462,1898.5999755859373
9,1889.0856926017236,1906.0999755859373
10,1898.31592476864,1909.199951171875
11,1900.356171829861,1925.0999755859373
12,1880.9408498451708,1886.5
13,1916.3450526363144,1899.4000244140625
14,1974.1595756203535,1942.4000244140625
15,1960.364198691634,1920.9000244140625
16,1958.4093214035015,1934.4000244140625
17,1999.17805141867,1965.0999755859373
18,2011.9831112770978,1993.9000244140625
19,2028.7185621539886,2040.0999755859373
20,1976.1834565720476,1985.9000244140625
21,1967.4278711867753,1998.0999755859373
22,1971.0802851366414,1982.699951171875
23,1930.3649682268729,1959.5999755859373
24,1910.3988921769947,1928.5
25,1896.053562825283,1908.0
26,1931.5284264936279,1942.0999755859373
27,1921.2919213650787,1928.199951171875
28,1917.239963799408,1928.5999755859373
29,1906.0685628135996,1920.699951171875
30,1922.643028260682,1936.5999755859373
31,1934.138627620174,1961.5999755859373
32,1915.8441362355181,1953.800048828125
33,1895.6361391503206,1939.5999755859373
34,1890.9307212526655,1912.0
35,1911.8057222735401,1933.5
36,1910.2634308422657,1949.199951171875
37,1901.5430733324379,1919.0999755859373
38,1895.314902057443,1929.199951171875
39,1887.3488287664698,1922.9000244140625
40,1879.0078904694144,1918.4000244140625
41,1885.3156046875267,1933.800048828125
42,1884.2663176005365,1941.5999755859373
43,1889.3136612727924,1944.300048828125
44,1919.9796288980556,1972.0999755859373
45,1934.432275595503,1981.0
46,1918.0288962975235,1970.9000244140625
47,1931.8419661506496,1982.9000244140625
48,1899.0967511944013,1955.699951171875
49,1899.9567716907475,1952.300048828125
50,1875.8344886698503,1944.9000244140625
51,1870.7265710897393,1931.0
52,1852.4419494268939,1893.199951171875
53,1869.4250167905607,1901.4000244140625
54,1865.5140745486133,1885.9000244140625
55,1855.666135070506,1888.699951171875
56,1851.3781677341785,1909.300048828125
57,1828.520216328187,1861.800048828125
58,1832.4181770796333,1868.800048828125
59,1833.3158273341614,1867.0
60,1831.5459144157985,1874.0
61,1809.8525504829227,1881.199951171875
62,1789.877088260806,1857.0999755859373
63,1775.6630373088528,1839.9000244140625
64,1796.8966148602053,1852.5999755859373
65,1789.832120351204,1823.800048828125
66,1778.7219264006183,1807.4000244140625
67,1799.615216883172,1813.5
68,1796.943183045561,1818.199951171875
69,1810.142004585999,1815.9000244140625
70,1820.9408198470537,1841.199951171875
71,1827.5319374157514,1841.800048828125
72,1829.9034546861228,1847.800048828125
73,1854.2542727548375,1865.0999755859373
74,1851.0943815082849,1846.199951171875
75,1852.923313151681,1847.4000244140625
76,1849.085055367973,1851.300048828125
77,1830.064545514795,1842.699951171875
78,1831.2802309766093,1843.300048828125
79,1845.5860640591745,1866.5
80,1832.6754103119194,1845.4000244140625
81,1838.4990066893301,1839.199951171875
82,1850.2985869280285,1847.5
83,1833.8605699402872,1851.9000244140625
84,1825.4436187900124,1848.800048828125
85,1818.975318250664,1871.5
86,1790.0154643015662,1828.0
87,1747.158895883358,1809.5
88,1759.2781155899854,1815.300048828125
89,1787.1748164547814,1845.699951171875
90,1767.8535279757764,1835.5999755859373
91,1768.742003299704,1834.5999755859373
92,1765.8882132125523,1834.300048828125
93,1758.7936724374808,1825.699951171875
94,1759.6910765874338,1826.5
95,1758.7457193959597,1820.9000244140625
96,1753.3359236977274,1817.5
97,1756.6859862540487,1813.699951171875
98,1748.1286259158844,1804.0999755859373
99,1736.306592305893,1798.9000244140625
100,1720.8323211269374,1761.800048828125
101,1708.3911882993002,1734.9000244140625
102,1717.075349742825,1737.9000244140625
