,Actual,Predicted
0,1820.5999755859373,1821.8310285712964
1,1826.5999755859373,1821.7850846210936
2,1835.199951171875,1828.8531149702471
3,1836.199951171875,1825.2179404474778
4,1840.800048828125,1826.6763754505077
5,1868.0,1834.1214296842925
6,1854.800048828125,1819.7735123160487
7,1870.199951171875,1824.8503714666238
8,1900.699951171875,1835.7168071667115
9,1898.5999755859373,1840.470011714336
10,1906.0999755859373,1845.137133304345
11,1909.199951171875,1847.8978137971974
12,1925.0999755859373,1851.572693486769
13,1886.5,1836.4198295812448
14,1899.4000244140625,1854.1485814507246
15,1942.4000244140625,1888.1524796424164
16,1920.9000244140625,1869.5574031025776
17,1934.4000244140625,1869.4844580934478
18,1965.0999755859373,1888.868846792429
19,1993.9000244140625,1881.6881243289122
20,2040.0999755859373,1900.8866180060904
21,1985.9000244140625,1873.2807425317988
22,1998.0999755859373,1879.6193460505276
23,1982.699951171875,1875.538211186828
24,1959.5999755859373,1847.1241335787938
25,1928.5,1846.5467814837457
26,1908.0,1833.4793349001582
27,1942.0999755859373,1854.3480906838806
28,1928.199951171875,1845.424785253967
29,1928.5999755859373,1838.5590932245245
30,1920.699951171875,1825.4390888536395
31,1936.5999755859373,1833.9167453451926
32,1961.5999755859373,1848.9171938508998
33,1953.800048828125,1831.0794472913271
34,1939.5999755859373,1821.8769766368928
35,1912.0,1818.6015290614419
36,1933.5,1829.34514550727
37,1949.199951171875,1830.699481189024
38,1919.0999755859373,1813.4380931278445
39,1929.199951171875,1810.052893919043
40,1922.9000244140625,1797.0046527857282
41,1918.4000244140625,1791.3564302165337
42,1933.800048828125,1795.4241231725744
43,1941.5999755859373,1794.196906375002
44,1944.300048828125,1792.3067357732748
45,1972.0999755859373,1813.589761754179
46,1981.0,1821.6973370042738
47,1970.9000244140625,1803.3807140857184
48,1982.9000244140625,1809.3527390415463
49,1955.699951171875,1791.6854954425794
50,1952.300048828125,1794.1844095135261
51,1944.9000244140625,1772.8570931059387
52,1931.0,1766.5371504505506
53,1893.199951171875,1759.360596870998
54,1901.4000244140625,1758.861469612321
55,1885.9000244140625,1752.3185887847837
56,1888.699951171875,1743.6776634683592
57,1909.300048828125,1736.9976201533084
58,1861.800048828125,1719.5590420817252
59,1868.800048828125,1721.579219281066
60,1867.0,1718.8955544337884
61,1874.0,1707.6992615084862
62,1881.199951171875,1705.413970225551
63,1857.0999755859373,1698.6816410055303
64,1839.9000244140625,1695.2197818895472
65,1852.5999755859373,1700.5797938889918
66,1823.800048828125,1688.6926855614352
67,1807.4000244140625,1687.311231244635
68,1813.5,1701.948077773615
69,1818.199951171875,1701.1892684746053
70,1815.9000244140625,1699.939000482213
71,1841.199951171875,1709.8254846549466
72,1841.800048828125,1709.5006232039561
73,1847.800048828125,1705.393814335529
74,1865.0999755859373,1719.7898002142654
75,1846.199951171875,1716.5966753612045
76,1847.4000244140625,1719.7736557155458
77,1851.300048828125,1725.687470085921
78,1842.699951171875,1709.6671717069908
79,1843.300048828125,1705.138410030755
80,1866.5,1715.7523914327535
81,1845.4000244140625,1702.6935400423013
82,1839.199951171875,1699.6127323741437
83,1847.5,1705.911163754443
84,1851.9000244140625,1700.8277013038776
85,1848.800048828125,1691.3503755858235
86,1871.5,1684.8789017035501
87,1828.0,1654.4722202051207
88,1809.5,1643.3988812401985
89,1815.300048828125,1661.0868350649291
90,1845.699951171875,1674.9020580291062
91,1835.5999755859373,1675.1298445086682
92,1834.5999755859373,1677.915336689166
93,1834.300048828125,1679.2890382756254
94,1825.699951171875,1678.9470687107764
95,1826.5,1679.8182561652488
96,1820.9000244140625,1674.7068828527708
97,1817.5,1664.2701090059759
98,1813.699951171875,1668.1101496737308
99,1804.0999755859373,1669.2527788446898
100,1798.9000244140625,1661.8394923822277
101,1761.800048828125,1654.3889301817321
102,1734.9000244140625,1648.309523387028
103,1737.9000244140625,1640.493893676863
104,1740.5999755859375,1635.1036302167809
105,1730.0,1638.6893097435632
106,1723.300048828125,1636.8382588544496
107,1734.199951171875,1643.3785257065265
108,1704.5,1617.115045515475
109,1702.4000244140625,1629.1675550003856
110,1709.199951171875,1630.9041400355718
111,1710.0,1627.544641325554
112,1699.5,1623.2917334259835
113,1712.699951171875,1633.1252693289032
114,1727.0999755859375,1637.9802117047386
115,1719.0,1628.461220986202
116,1717.699951171875,1633.2585218415136
117,1719.0999755859375,1640.3835523686635
118,1750.300048828125,1676.9368658392232
119,1762.9000244140625,1686.668990016109
120,1769.0,1691.7313037918675
121,1771.0999755859375,1679.6792641668844
122,1758.0,1672.0891682418965
123,1788.5,1683.122185408091
124,1772.9000244140625,1666.3656208084253
125,1786.800048828125,1690.3103970796842
126,1794.0,1683.5724674630746
127,1795.5999755859375,1691.4579877909878
128,1789.699951171875,1674.2743857852874
129,1798.5999755859375,1686.6312742850782
130,1781.4000244140625,1681.2333201260137
131,1773.199951171875,1673.5200443453523
132,1760.300048828125,1660.1636576572537
133,1755.300048828125,1655.688623006246
134,1747.5999755859375,1637.716270796452
135,1734.0,1628.3708018948414
136,1746.800048828125,1631.5947510933588
137,1747.800048828125,1624.7488844795676
138,1757.699951171875,1635.9736997322475
139,1736.0999755859375,1624.4357133913143
140,1736.5999755859375,1615.345719472457
141,1723.199951171875,1606.2848539065758
142,1712.800048828125,1595.482693794506
143,1696.5999755859375,1583.4969726282357
144,1709.800048828125,1593.8852841438916
145,1700.4000244140625,1586.7846534290597
146,1715.300048828125,1601.088130565872
147,1708.0,1604.7187706847208
148,1716.199951171875,1610.6452013454784
149,1728.0999755859375,1633.9316464462747
150,1705.0,1618.2483077979723
151,1696.5,1617.8927481354708
152,1665.4000244140625,1609.5207897772875
153,1671.699951171875,1615.5300835251114
154,1666.199951171875,1612.5130347857103
155,1659.699951171875,1602.9510142978606
156,1664.5999755859375,1612.8084489112832
157,1670.800048828125,1603.3875534427107
158,1645.300048828125,1587.5657506929185
159,1623.300048828125,1564.0227800733546
160,1626.699951171875,1556.839051666801
161,1660.4000244140625,1587.3361727223064
162,1658.5,1579.478140848277
163,1662.4000244140625,1584.2834338472649
164,1692.9000244140625,1634.8828087615288
165,1721.0999755859375,1649.7834309539107
166,1711.4000244140625,1626.9335470754183
167,1711.699951171875,1624.2724642312653
168,1700.5,1609.7797897633131
169,1667.300048828125,1594.6055850863359
170,1678.699951171875,1588.2345060133364
171,1670.300048828125,1578.4981407280964
172,1670.0,1576.1207392702536
173,1641.699951171875,1551.759438993514
174,1657.0,1571.272936370753
175,1649.0,1571.9025528871048
176,1627.5,1558.4741132032873
177,1630.800048828125,1558.7312805915712
178,1651.0,1572.8059922023244
179,1648.699951171875,1575.1701596220469
180,1652.800048828125,1587.6432121588737
181,1664.0,1596.9873702124382
182,1660.699951171875,1603.092797682348
183,1639.5999755859375,1589.540882896022
184,1635.9000244140625,1582.9700876447675
185,1645.0,1600.2472306596355
186,1645.699951171875,1593.642771694063
187,1627.300048828125,1585.5067535178111
188,1672.5,1614.8142389897178
189,1676.5,1611.7439483915368
190,1712.0999755859375,1635.824290815653
191,1710.0999755859375,1629.430579388484
192,1750.300048828125,1662.1154437000541
193,1766.0,1663.2204023613995
194,1773.5999755859375,1668.960198329585
195,1773.800048828125,1660.3295324535807
196,1773.0,1665.3054625320801
197,1760.800048828125,1646.9766320299148
198,1751.9000244140625,1645.3255845433398
199,1737.4000244140625,1639.7312296710002
200,1738.300048828125,1649.1199817463432
201,1744.9000244140625,1657.7373017930754
202,1753.300048828125,1662.4246732853885
203,1740.0999755859375,1649.7628919562126
204,1748.4000244140625,1652.9958977356139
205,1746.0,1667.6995862488425
206,1801.0999755859375,1701.1970488288707
207,1795.9000244140625,1712.5124846975073
208,1767.4000244140625,1687.6746398439354
209,1769.300048828125,1690.8947616065839
210,1785.5,1710.9523309631609
211,1788.699951171875,1712.9997028798202
212,1798.0999755859375,1717.8227256551506
213,1780.5,1708.6385111660336
214,1813.9000244140625,1728.6759165958754
215,1807.5,1732.5212958858863
216,1777.199951171875,1714.0490653421823
217,1790.0,1713.2473709633082
218,1787.699951171875,1705.456481687706
219,1815.9000244140625,1725.2487931450244
220,1815.9000244140625,1724.4227814044361
221,1787.0,1713.082413657851
222,1795.9000244140625,1715.003462468669
223,1814.800048828125,1713.892943146123
224,1807.9000244140625,1703.9480968489293
225,1819.5,1719.0646144670604
226,1819.699951171875,1711.1630669190147
227,1839.699951171875,1721.4331687531785
228,1852.800048828125,1721.1734170455404
229,1834.800048828125,1707.396436068599
230,1864.199951171875,1731.6057648366404
231,1872.699951171875,1731.8331535987438
232,1871.5999755859373,1721.1340681121999
233,1874.5999755859373,1722.258770563874
234,1895.5,1741.1031001517733
235,1918.4000244140625,1746.6228483462817
236,1907.199951171875,1738.1655727876057
237,1904.4000244140625,1738.7982199634007
238,1922.0999755859373,1742.661357748279
239,1926.4000244140625,1740.8676924127485
240,1927.0999755859373,1729.2391056145502
241,1933.9000244140625,1737.542422453218
242,1941.199951171875,1743.246635340553
243,1929.0999755859373,1744.3694310864714
244,1928.5999755859373,1731.9508119994102
245,1922.9000244140625,1732.887425505663
246,1929.5,1738.2466132693585
247,1927.800048828125,1741.5307963529353
248,1916.300048828125,1744.3275704938635
249,1862.9000244140625,1705.489997801367
250,1866.199951171875,1694.3173659165875
251,1871.699951171875,1690.8193269585236
252,1877.4000244140625,1697.8350311120523
253,1866.199951171875,1689.2463402178973
254,1862.800048828125,1684.457318342708
255,1851.9000244140625,1681.5611187197521
256,1854.0,1678.2175899732501
257,1834.199951171875,1668.676186902354
258,1842.0,1669.7943334390095
259,1840.4000244140625,1671.4102890977892
260,1833.0,1666.4103143767088
261,1832.0,1663.2459166298936
262,1818.0,1656.9166352787506
263,1808.800048828125,1639.9269882285184
264,1817.0,1638.0662711708887
265,1828.9000244140625,1645.1418481957658
266,1837.699951171875,1639.0427917689965
267,1833.5,1629.8833130678695
268,1847.699951171875,1644.0510434356916
269,1847.9000244140625,1642.1144949523216
270,1813.9000244140625,1619.8252903766368
271,1812.699951171875,1618.6985694640787
272,1829.300048828125,1622.0340893568875
273,1862.0,1645.347782759954
274,1911.699951171875,1690.4831210698717
275,1906.199951171875,1685.9793984789899
276,1926.5999755859373,1692.1519597958854
277,1919.0,1680.9315423640285
278,1969.800048828125,1711.0896838834221
279,1979.199951171875,1711.3452510862235
280,1938.0,1698.1713791456855
281,1946.800048828125,1713.731916327824
282,1993.800048828125,1732.584410181465
283,1982.0999755859373,1735.7895682770613
284,1952.4000244140625,1722.1787518507208
285,1972.4000244140625,1726.0366889001903
286,1966.0999755859373,1727.9229237349807
287,1980.300048828125,1740.84349340963
288,1969.0,1749.2071046538745
289,1983.9000244140625,1750.9128350924655
290,2022.199951171875,1782.5490255638992
291,2020.9000244140625,1784.833025367112
292,2011.9000244140625,1786.0280194859886
293,1989.0999755859373,1773.6701052522521
294,2004.800048828125,1778.5904869300502
295,2010.9000244140625,1786.55365942675
296,2041.300048828125,1797.0042143200965
